pattern,metric,providers,providers_count,provider_balanced_baseline_mean,provider_balanced_pattern_mean,provider_balanced_delta_mean,provider_balanced_improvement_mean
branch_conditional,internal_coherence_error_rate,"anthropic,gemini,openai",3,0.0,0.0,0.0,0.0
branch_conditional,irp_monotonic_progress_rate,"anthropic,gemini,openai",3,0.15731922398589065,0.20246913580246914,0.04514991181657848,0.04514991181657848
branch_conditional,irp_oscillation_rate,"anthropic,gemini,openai",3,0.18055555555555555,0.27314814814814814,0.0925925925925926,-0.0925925925925926
branch_conditional,misinterpretation_rate,"anthropic,gemini,openai",3,0.15555555555555559,0.2537037037037037,0.09814814814814815,-0.09814814814814815
branch_conditional,rework_cost_tokens,"anthropic,gemini,openai",3,224.2222222222222,365.3333333333333,141.11111111111111,-141.11111111111111
branch_conditional,self_contradiction_rate,"anthropic,gemini,openai",3,0.018518518518518517,0.06018518518518518,0.041666666666666664,-0.041666666666666664
branch_conditional,stability_variance,"anthropic,gemini,openai",3,0.029161350466112377,0.03417404887881079,0.005012698412698413,-0.005012698412698413
branch_conditional,trace_completeness,"anthropic,gemini,openai",3,1.0,1.0,0.0,0.0
branch_conditional,update_consistency,"anthropic,gemini,openai",3,0.9814814814814815,0.9398148148148149,-0.041666666666666664,-0.041666666666666664
conditional_branch,internal_coherence_error_rate,"anthropic,gemini,openai",3,0.0,0.0,0.0,0.0
conditional_branch,irp_monotonic_progress_rate,"anthropic,gemini,openai",3,0.15731922398589065,0.09453262786596119,-0.06278659611992944,-0.06278659611992944
conditional_branch,irp_oscillation_rate,"anthropic,gemini,openai",3,0.18055555555555555,0.08796296296296297,-0.0925925925925926,0.0925925925925926
conditional_branch,misinterpretation_rate,"anthropic,gemini,openai",3,0.15555555555555559,0.08240740740740742,-0.07314814814814814,0.07314814814814814
conditional_branch,rework_cost_tokens,"anthropic,gemini,openai",3,224.44444444444446,104.33333333333333,-120.1111111111111,120.1111111111111
conditional_branch,self_contradiction_rate,"anthropic,gemini,openai",3,0.018518518518518517,0.0,-0.018518518518518517,0.018518518518518517
conditional_branch,stability_variance,"anthropic,gemini,openai",3,0.029161350466112377,0.01174865205341396,-0.017412698412698418,0.017412698412698418
conditional_branch,trace_completeness,"anthropic,gemini,openai",3,1.0,1.0,0.0,0.0
conditional_branch,update_consistency,"anthropic,gemini,openai",3,0.9814814814814815,1.0,0.018518518518518514,0.018518518518518514
conditional_delta,internal_coherence_error_rate,"anthropic,gemini,openai",3,0.0,0.0,0.0,0.0
conditional_delta,irp_monotonic_progress_rate,"anthropic,gemini,openai",3,0.1412698412698413,0.09082892416225748,-0.05044091710758377,-0.05044091710758377
conditional_delta,irp_oscillation_rate,"anthropic,gemini,openai",3,0.15972222222222224,0.1087962962962963,-0.05092592592592593,0.05092592592592593
