provider,pattern,metric,n,baseline_mean,pattern_mean,delta_mean,improvement_mean,positive_count,negative_count,zero_count,non_effective_rate
anthropic,branch_conditional,internal_coherence_error_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,branch_conditional,irp_monotonic_progress_rate,3,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,1,2,0.6666666666666666
anthropic,branch_conditional,irp_oscillation_rate,3,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,1,0,2,0.6666666666666666
anthropic,branch_conditional,misinterpretation_rate,3,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1,0,2,0.6666666666666666
anthropic,branch_conditional,rework_cost_tokens,3,76.66666666666667,0.0,-76.66666666666667,76.66666666666667,1,0,2,0.6666666666666666
anthropic,branch_conditional,self_contradiction_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,branch_conditional,stability_variance,3,0.006666666666666669,0.0,-0.006666666666666669,0.006666666666666669,1,0,2,0.6666666666666666
anthropic,branch_conditional,trace_completeness,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,branch_conditional,update_consistency,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_branch,internal_coherence_error_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_branch,irp_monotonic_progress_rate,3,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,1,2,0.6666666666666666
anthropic,conditional_branch,irp_oscillation_rate,3,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,1,0,2,0.6666666666666666
anthropic,conditional_branch,misinterpretation_rate,3,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1,0,2,0.6666666666666666
anthropic,conditional_branch,rework_cost_tokens,3,76.66666666666667,0.0,-76.66666666666667,76.66666666666667,1,0,2,0.6666666666666666
anthropic,conditional_branch,self_contradiction_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_branch,stability_variance,3,0.006666666666666669,0.0,-0.006666666666666669,0.006666666666666669,1,0,2,0.6666666666666666
anthropic,conditional_branch,trace_completeness,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_branch,update_consistency,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_delta,internal_coherence_error_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_delta,irp_monotonic_progress_rate,3,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,1,2,0.6666666666666666
anthropic,conditional_delta,irp_oscillation_rate,3,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,1,0,2,0.6666666666666666
anthropic,conditional_delta,misinterpretation_rate,3,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1,0,2,0.6666666666666666
anthropic,conditional_delta,rework_cost_tokens,3,76.66666666666667,0.0,-76.66666666666667,76.66666666666667,1,0,2,0.6666666666666666
anthropic,conditional_delta,self_contradiction_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_delta,stability_variance,3,0.006666666666666669,0.0,-0.006666666666666669,0.006666666666666669,1,0,2,0.6666666666666666
anthropic,conditional_delta,trace_completeness,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_delta,update_consistency,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_hierarchical,internal_coherence_error_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_hierarchical,irp_monotonic_progress_rate,3,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,1,2,0.6666666666666666
anthropic,conditional_hierarchical,irp_oscillation_rate,3,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,1,0,2,0.6666666666666666
anthropic,conditional_hierarchical,misinterpretation_rate,3,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1,0,2,0.6666666666666666
anthropic,conditional_hierarchical,rework_cost_tokens,3,76.66666666666667,0.0,-76.66666666666667,76.66666666666667,1,0,2,0.6666666666666666
anthropic,conditional_hierarchical,self_contradiction_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_hierarchical,stability_variance,3,0.006666666666666669,0.0,-0.006666666666666669,0.006666666666666669,1,0,2,0.6666666666666666
anthropic,conditional_hierarchical,trace_completeness,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,conditional_hierarchical,update_consistency,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,internal_coherence_error_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,irp_monotonic_progress_rate,3,0.037037037037037035,0.037037037037037035,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,irp_oscillation_rate,3,0.041666666666666664,0.041666666666666664,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,misinterpretation_rate,3,0.03333333333333333,0.03333333333333333,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,rework_cost_tokens,3,77.0,77.33333333333333,0.3333333333333333,-0.3333333333333333,0,1,2,0.6666666666666666
anthropic,delta_conditional,self_contradiction_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,stability_variance,3,0.006666666666666669,0.006666666666666669,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,trace_completeness,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,delta_conditional,update_consistency,3,1.0,1.0,0.0,0.0,0,0,3,1.0
anthropic,delta_hierarchical,internal_coherence_error_rate,3,0.0,0.0,0.0,0.0,0,0,3,1.0
