raw_file,pair_index,provider,pattern,scenario_id,template_id,temperature,rep,metric,baseline,pattern_value,delta,direction,improvement,sign,non_effective,tau_trace_pass
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,internal_coherence_error_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,irp_monotonic_progress_rate,0.0,0.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,irp_oscillation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,misinterpretation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,rework_cost_tokens,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,self_contradiction_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,stability_variance,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,trace_completeness,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,1,anthropic,branch_conditional,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,update_consistency,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,internal_coherence_error_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,irp_monotonic_progress_rate,0.0,0.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,irp_oscillation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,misinterpretation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,rework_cost_tokens,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,self_contradiction_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,stability_variance,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,trace_completeness,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,2,anthropic,branch_conditional,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,update_consistency,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,internal_coherence_error_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,irp_monotonic_progress_rate,0.1111111111111111,0.0,-0.1111111111111111,1,-0.1111111111111111,negative,False,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,irp_oscillation_rate,0.125,0.0,-0.125,-1,0.125,positive,False,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,misinterpretation_rate,0.1,0.0,-0.1,-1,0.1,positive,False,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,rework_cost_tokens,230.0,0.0,-230.0,-1,230.0,positive,False,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,self_contradiction_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,stability_variance,0.020000000000000007,0.0,-0.020000000000000007,-1,0.020000000000000007,positive,False,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,trace_completeness,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_branch_conditional_t00_20260303T012944Z.json,3,anthropic,branch_conditional,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,update_consistency,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,internal_coherence_error_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,irp_monotonic_progress_rate,0.0,0.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,irp_oscillation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,misinterpretation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,rework_cost_tokens,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,self_contradiction_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,stability_variance,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,trace_completeness,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,1,anthropic,conditional_branch,S_STABLE_01,S_STABLE_MAIN_01,0.0,1,update_consistency,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,internal_coherence_error_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,irp_monotonic_progress_rate,0.0,0.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,irp_oscillation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,misinterpretation_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,rework_cost_tokens,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,self_contradiction_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,stability_variance,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,trace_completeness,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,2,anthropic,conditional_branch,S_CONTEXT_DRIFT_01,S_CONTEXT_DRIFT_MAIN_01,0.0,1,update_consistency,1.0,1.0,0.0,1,0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,3,anthropic,conditional_branch,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,internal_coherence_error_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,3,anthropic,conditional_branch,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,irp_monotonic_progress_rate,0.1111111111111111,0.0,-0.1111111111111111,1,-0.1111111111111111,negative,False,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,3,anthropic,conditional_branch,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,irp_oscillation_rate,0.125,0.0,-0.125,-1,0.125,positive,False,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,3,anthropic,conditional_branch,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,misinterpretation_rate,0.1,0.0,-0.1,-1,0.1,positive,False,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,3,anthropic,conditional_branch,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,rework_cost_tokens,230.0,0.0,-230.0,-1,230.0,positive,False,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,3,anthropic,conditional_branch,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,self_contradiction_rate,0.0,0.0,0.0,-1,-0.0,zero,True,True
mst_paired_runs_combo8_c06_anthropic_conditional_branch_t00_20260303T012625Z.json,3,anthropic,conditional_branch,S_DRIFT_RETURN_RECOVERY_01,S_DRIFT_RETURN_RECOVERY_MAIN_01,0.0,1,stability_variance,0.020000000000000007,0.0,-0.020000000000000007,-1,0.020000000000000007,positive,False,True
