provider,pattern,metric,rep1_improvement_mean,rep3_improvement_mean,rep1_direction,rep3_direction,direction_changed,zero_eps_abs
anthropic,branch_conditional,internal_coherence_error_rate,0,0,zero,zero,False,1e-12
anthropic,branch_conditional,irp_monotonic_progress_rate,-0.037037037037037035,-0.037037037037037035,negative,negative,False,1e-12
anthropic,branch_conditional,irp_oscillation_rate,0.041666666666666664,0.041666666666666664,positive,positive,False,1e-12
anthropic,branch_conditional,misinterpretation_rate,0.033333333333333333,0.03333333333333334,positive,positive,False,1e-12
anthropic,branch_conditional,rework_cost_tokens,76.666666666666671,76.666666666666671,positive,positive,False,1e-12
anthropic,branch_conditional,self_contradiction_rate,0,0,zero,zero,False,1e-12
anthropic,branch_conditional,stability_variance,0.0066666666666666688,0.0066666666666666697,positive,positive,False,1e-12
anthropic,branch_conditional,trace_completeness,0,0,zero,zero,False,1e-12
anthropic,branch_conditional,update_consistency,0,0,zero,zero,False,1e-12
anthropic,conditional_branch,internal_coherence_error_rate,0,0,zero,zero,False,1e-12
anthropic,conditional_branch,irp_monotonic_progress_rate,-0.037037037037037035,-0.037037037037037035,negative,negative,False,1e-12
anthropic,conditional_branch,irp_oscillation_rate,0.041666666666666664,0.041666666666666664,positive,positive,False,1e-12
anthropic,conditional_branch,misinterpretation_rate,0.033333333333333333,0.03333333333333334,positive,positive,False,1e-12
anthropic,conditional_branch,rework_cost_tokens,76.666666666666671,76.666666666666671,positive,positive,False,1e-12
anthropic,conditional_branch,self_contradiction_rate,0,0,zero,zero,False,1e-12
anthropic,conditional_branch,stability_variance,0.0066666666666666688,0.0066666666666666697,positive,positive,False,1e-12
anthropic,conditional_branch,trace_completeness,0,0,zero,zero,False,1e-12
anthropic,conditional_branch,update_consistency,0,0,zero,zero,False,1e-12
anthropic,conditional_delta,internal_coherence_error_rate,0,0,zero,zero,False,1e-12
anthropic,conditional_delta,irp_monotonic_progress_rate,-0.037037037037037035,-0.037037037037037035,negative,negative,False,1e-12
anthropic,conditional_delta,irp_oscillation_rate,0.041666666666666664,0.041666666666666664,positive,positive,False,1e-12
anthropic,conditional_delta,misinterpretation_rate,0.033333333333333333,0.03333333333333334,positive,positive,False,1e-12
anthropic,conditional_delta,rework_cost_tokens,76.666666666666671,76.888888888888886,positive,positive,False,1e-12
anthropic,conditional_delta,self_contradiction_rate,0,0,zero,zero,False,1e-12
anthropic,conditional_delta,stability_variance,0.0066666666666666688,0.0066666666666666697,positive,positive,False,1e-12
anthropic,conditional_delta,trace_completeness,0,0,zero,zero,False,1e-12
anthropic,conditional_delta,update_consistency,0,0,zero,zero,False,1e-12
anthropic,conditional_hierarchical,internal_coherence_error_rate,0,0,zero,zero,False,1e-12
anthropic,conditional_hierarchical,irp_monotonic_progress_rate,-0.037037037037037035,-0.037037037037037035,negative,negative,False,1e-12
anthropic,conditional_hierarchical,irp_oscillation_rate,0.041666666666666664,0.041666666666666664,positive,positive,False,1e-12
anthropic,conditional_hierarchical,misinterpretation_rate,0.033333333333333333,0.03333333333333334,positive,positive,False,1e-12
anthropic,conditional_hierarchical,rework_cost_tokens,76.666666666666671,76.666666666666671,positive,positive,False,1e-12
anthropic,conditional_hierarchical,self_contradiction_rate,0,0,zero,zero,False,1e-12
anthropic,conditional_hierarchical,stability_variance,0.0066666666666666688,0.0066666666666666697,positive,positive,False,1e-12
anthropic,conditional_hierarchical,trace_completeness,0,0,zero,zero,False,1e-12
